,markers,direction
1710850903.288152,4.0,270.0
1710850903.304864,4.0,270.0
1710850903.321493,4.0,270.0
1710850903.3378718,4.0,270.0
1710850903.354273,4.0,270.0
1710850903.37165,4.0,270.0
1710850903.3880908,4.0,270.0
1710850903.4048052,4.0,270.0
1710850903.421453,4.0,270.0
1710850903.4379961,4.0,270.0
1710850903.44837,4.0,270.0
1710850903.4712489,4.0,270.0
1710850903.487673,4.0,270.0
1710850903.5050728,4.0,270.0
1710850903.521363,4.0,270.0
1710850903.537825,4.0,270.0
1710850903.554205,4.0,270.0
1710850903.571167,4.0,270.0
1710850903.588083,4.0,270.0
1710850903.6044888,4.0,270.0
1710850903.621736,4.0,270.0
1710850903.638505,4.0,270.0
1710850903.654624,4.0,270.0
1710850903.6712582,4.0,270.0
1710850903.687978,4.0,270.0
1710850903.704413,4.0,270.0
1710850903.7150998,4.0,270.0
1710850903.737002,4.0,270.0
1710850903.754598,4.0,270.0
1710850903.771827,4.0,270.0
1710850903.780303,4.0,270.0
1710850903.8031518,4.0,270.0
1710850903.822219,4.0,270.0
1710850903.837007,4.0,270.0
1710850903.854818,4.0,270.0
1710850903.8712409,4.0,270.0
1710850903.888234,4.0,270.0
1710850903.9048781,4.0,270.0
1710850903.920989,4.0,270.0
1710850903.938059,4.0,270.0
1710850903.955071,4.0,270.0
1710850903.964842,4.0,270.0
1710850903.987743,4.0,270.0
1710850904.004897,4.0,270.0
1710850904.0212579,4.0,270.0
1710850904.040072,4.0,270.0
1710850904.0533628,4.0,270.0
1710850904.070515,4.0,270.0
1710850904.086865,4.0,270.0
1710850904.1036391,4.0,270.0
1710850904.12014,4.0,270.0
1710850904.136739,4.0,270.0
1710850904.153524,4.0,270.0
1710850904.1704268,4.0,270.0
1710850904.186972,4.0,270.0
1710850904.203709,4.0,270.0
1710850904.220872,4.0,270.0
1710850904.237827,4.0,270.0
1710850904.255091,4.0,270.0
1710850904.27138,4.0,270.0
1710850904.28788,4.0,270.0
1710850904.304965,4.0,270.0
1710850904.321289,4.0,270.0
1710850904.3385038,4.0,270.0
1710850904.3479612,4.0,270.0
1710850904.371745,4.0,270.0
1710850904.388354,4.0,270.0
1710850904.404604,4.0,270.0
1710850904.421129,4.0,270.0
1710850904.4380999,4.0,270.0
1710850904.454874,4.0,270.0
1710850904.471728,4.0,270.0
1710850904.488638,4.0,270.0
1710850904.498438,4.0,270.0
1710850904.521178,4.0,270.0
1710850904.5380101,4.0,270.0
1710850904.5546849,4.0,270.0
1710850904.571263,4.0,270.0
1710850904.581922,4.0,270.0
1710850904.6050088,4.0,270.0
1710850904.614173,4.0,270.0
1710850904.637856,4.0,270.0
1710850904.65461,4.0,270.0
1710850904.671099,4.0,270.0
1710850904.688421,4.0,270.0
1710850904.705178,4.0,270.0
1710850904.721177,4.0,270.0
1710850904.738127,4.0,270.0
1710850904.755496,4.0,270.0
1710850904.7645922,4.0,270.0
1710850904.788498,4.0,270.0
1710850904.7986078,4.0,270.0
1710850904.8212538,4.0,270.0
1710850904.838581,4.0,270.0
1710850904.847798,4.0,270.0
1710850904.8716319,4.0,270.0
1710850904.888135,4.0,270.0
1710850904.905576,4.0,270.0
1710850904.921525,4.0,270.0
1710850904.93812,4.0,270.0
1710850904.9548218,4.0,270.0
1710850904.971817,4.0,270.0
1710850904.980845,4.0,270.0
1710850905.00526,4.0,270.0
1710850905.014726,4.0,270.0
1710850905.039016,4.0,270.0
1710850905.052546,4.0,270.0
1710850905.07124,4.0,270.0
1710850905.088274,4.0,270.0
1710850905.097762,4.0,270.0
1710850905.121296,4.0,270.0
1710850905.137964,4.0,270.0
1710850905.155236,4.0,270.0
1710850905.164434,4.0,270.0
1710850905.187944,4.0,270.0
1710850905.204732,4.0,270.0
1710850905.2213619,4.0,270.0
1710850905.238497,4.0,270.0
1710850905.2549791,4.0,270.0
1710850905.264689,4.0,270.0
1710850905.287859,4.0,270.0
1710850905.304197,4.0,270.0
1710850905.321481,4.0,270.0
1710850905.3377438,4.0,270.0
1710850905.354835,4.0,270.0
1710850905.371825,4.0,270.0
1710850905.3878589,4.0,270.0
1710850905.404531,4.0,270.0
1710850905.421556,4.0,270.0
1710850905.438028,4.0,270.0
1710850905.439977,90.0,90.0
1710850905.44885,4.0,90.0
1710850905.457769,1.0,90.0
1710850905.464962,1.0,90.0
1710850905.487624,1.0,90.0
1710850905.504564,1.0,90.0
1710850905.5208662,1.0,90.0
1710850905.537875,1.0,90.0
1710850905.554471,1.0,90.0
1710850905.565082,1.0,90.0
1710850905.587638,1.0,90.0
1710850905.597301,1.0,90.0
1710850905.6211991,1.0,90.0
1710850905.632072,1.0,90.0
1710850905.6549802,1.0,90.0
1710850905.6645088,1.0,90.0
1710850905.6886332,1.0,90.0
1710850905.701855,1.0,90.0
1710850905.721081,1.0,90.0
1710850905.730952,1.0,90.0
1710850905.7546802,1.0,90.0
1710850905.7644742,1.0,90.0
1710850905.78847,1.0,90.0
1710850905.797837,1.0,90.0
1710850905.821001,1.0,90.0
1710850905.837754,1.0,90.0
1710850905.854815,1.0,90.0
1710850905.864218,1.0,90.0
1710850905.888604,1.0,90.0
1710850905.9035132,1.0,90.0
1710850905.921062,1.0,90.0
1710850905.930608,1.0,90.0
1710850905.954705,1.0,90.0
1710850905.964658,1.0,90.0
1710850905.9875588,1.0,90.0
1710850905.99826,1.0,90.0
1710850906.0213811,1.0,90.0
1710850906.0387,1.0,90.0
1710850906.0544379,1.0,90.0
1710850906.071414,1.0,90.0
1710850906.081138,1.0,90.0
1710850906.104654,1.0,90.0
1710850906.122147,1.0,90.0
1710850906.1313338,1.0,90.0
1710850906.1532118,1.0,90.0
1710850906.1702762,1.0,90.0
1710850906.186804,1.0,90.0
1710850906.203512,1.0,90.0
1710850906.2202828,1.0,90.0
1710850906.23716,1.0,90.0
1710850906.253709,1.0,90.0
1710850906.2703419,1.0,90.0
1710850906.287571,1.0,90.0
1710850906.304398,1.0,90.0
1710850906.321646,1.0,90.0
1710850906.3358898,1.0,90.0
1710850906.354569,1.0,90.0
1710850906.37133,1.0,90.0
1710850906.384893,1.0,90.0
1710850906.4048278,1.0,90.0
1710850906.415595,1.0,90.0
1710850906.4390242,1.0,90.0
1710850906.44895,1.0,90.0
1710850906.470672,1.0,90.0
1710850906.4874601,1.0,90.0
1710850906.504695,1.0,90.0
1710850906.5210938,1.0,90.0
1710850906.538126,1.0,90.0
1710850906.5550442,1.0,90.0
1710850906.564238,1.0,90.0
1710850906.587798,1.0,90.0
1710850906.59731,1.0,90.0
1710850906.621469,1.0,90.0
1710850906.634978,1.0,90.0
1710850906.655314,1.0,90.0
